Region,Country,iso3,year,lifeExpectancy,dentists,medics,nursesMid
European Union,Ireland,IRL,2014,81.3,5.92,30.12,121.78
Central America and Caribbean,Cuba,CUB,2013,78.5,13.5,74.08,80.87
Asia,Kyrgyz Republic,KGZ,2010,69.3,1.86,18.71,49.37
European Union,Poland,POL,2009,75.7,3.2,21.79,58.59
Rest of Europe,Russian Federation,RUS,2004,65.5,2.92,47.4,98.77
Middle East,Kuwait,KWT,2007,73.8,4.64,22.36,52.48
European Union,Bulgaria,BGR,2000,71.7,8.47,34.41,44.51
European Union,Luxembourg,LUX,2012,81.4,8.31,28.07,122.89
European Union,Hungary,HUN,2005,72.6,4.48,27.87,61.59
Africa,Togo,TGO,2008,56.2,0.02,0.55,2.85
South America,Chile,CHL,2015,79.6,10,21.38,26.94
South America,Guyana,GUY,2009,67.8,0.39,NA,13.15
Africa,Morocco,MAR,2010,74.4,1.32,6.08,NA
Central America and Caribbean,Grenada,GRD,2002,72.9,0.83,5.35,33.76
Central America and Caribbean,Grenada,GRD,2012,72.7,0.8,8.25,NA
European Union,France,FRA,2015,82.3,6.53,31.84,90.26
Oceania,Timor Leste,TLS,2010,67.2,0.07,NA,11.57
European Union,Belgium,BEL,2014,81.3,7.23,29.75,112.03
Rest of Europe,United Kingdom,GBR,2015,81,5.3,27.67,83.6
Africa,Algeria,DZA,2007,73.9,3.11,11.95,19.28
Africa,Seychelles,SYC,2007,73.1,1.75,9.95,44.92
Africa,Comoros,COM,2004,59.9,0.29,1.98,10.13
Rest of Europe,United Kingdom,GBR,2009,80.1,5.02,26.42,89.57
Central America and Caribbean,Cuba,CUB,2007,78,9.65,64.16,86.65
Asia,Kyrgyz Republic,KGZ,2004,68.2,2.04,19.84,49.45
Rest of Europe,Montenegro,MNE,2012,76.2,0.46,20.14,48.78
Africa,Cameroon,CMR,2009,54.6,0.02,0.7,3.99
Middle East,Syrian Arab Republic,SYR,2010,72.1,7.11,13.88,17.82
Central America and Caribbean,St Lucia,LCA,2011,75,2.45,18.45,NA
Rest of Europe,Georgia,GEO,2011,71.8,4.51,47.47,41.52
Africa,Morocco,MAR,2012,75,1.33,4.78,NA
North America,Canada,CAN,2010,81.2,5.79,NA,93.42
European Union,Germany,DEU,2011,80.4,8.28,38.49,103.39
European Union,Cyprus,CYP,2011,79.6,6.83,22.06,36.18
European Union,Finland,FIN,2006,79.2,7.24,23.35,96.49
European Union,Slovenia,SVN,2004,77.2,5.98,23.02,74.35
European Union,Cyprus,CYP,2005,78.6,7.03,18.81,29.88
Asia,India,IND,2002,63.3,0.43,5.55,NA
Oceania,Micronesia Fed Sts ,FSM,2005,65.5,1.17,5.57,22.35
South America,Ecuador,ECU,2008,74.7,1.59,10.96,15.13
Rest of Europe,Russian Federation,RUS,2007,67.6,2.88,49.17,98.27
European Union,Cyprus,CYP,2006,78.8,6.78,18.22,32.98
Africa,Botswana,BWA,2008,56.7,0.09,3.67,28.8
Africa,Zimbabwe,ZWE,2007,44.9,0.15,NA,NA
Oceania,Australia,AUS,2011,81.9,5.37,32.96,108.4
Asia,Mongolia,MNG,2011,67.8,2.38,28.93,36.95
Africa,Morocco,MAR,2003,70.4,1,5.51,NA
Asia,Turkmenistan,TKM,2001,63.8,2.25,27.02,85.14
European Union,Lithuania,LTU,2008,71.8,6.9,38.81,77.58
Asia,Azerbaijan,AZE,2012,71.5,2.63,34.49,67.19
Rest of Europe,Albania,ALB,2003,74.8,4.33,11.86,36.04
European Union,Spain,ESP,2011,82.5,6.19,38.14,53.55
Asia,Tajikistan,TJK,2006,66.8,1.4,18.8,34.4
Africa,Algeria,DZA,2011,75.2,3.28,16.16,NA
Rest of Europe,Iceland,ISL,2009,81.8,9.23,36.47,160.73
North America,Mexico,MEX,2001,74.7,0.97,15.19,22.31
Rest of Europe,Iceland,ISL,2015,82.5,8.4,37.73,162.75
Middle East,Oman,OMN,2013,76.4,2.29,20.01,44.16
European Union,Poland,POL,2002,74.5,2.82,23.04,54.31
South America,Colombia,COL,2010,75.4,11.62,16.9,8.97
European Union,Poland,POL,2010,76.2,3.29,21.84,58.64
Central America and Caribbean,St Lucia,LCA,2001,73.5,1.69,NA,23.16
Rest of Europe,Norway,NOR,2010,81,8.78,41.14,166.55
European Union,Cyprus,CYP,2013,80,7,23.26,37.34
Rest of Europe,Armenia,ARM,2015,74.5,3.7,29.19,49.61
Rest of Europe,Ukraine,UKR,2006,68.1,4.53,30.4,65.56
European Union,Sweden,SWE,2004,80.5,8.27,33.73,110.09
Central America and Caribbean,El Salvador,SLV,2008,70.8,7.74,19.14,NA
Asia,Turkmenistan,TKM,2010,66.7,1.05,20.79,41.26
North America,United States,USA,2013,78.7,5.98,25.3,110
Africa,Central African Republic,CAF,2008,46.2,0.01,NA,1.83
South America,Ecuador,ECU,2014,75.9,2.6,16.84,21.8
European Union,Italy,ITA,2015,82.5,7.86,38.48,57.16
Rest of Europe,North Macedonia,MKD,2004,73.6,5.44,21.52,34.82
Asia,Malaysia,MYS,2005,73.6,1.07,7.78,25.38
European Union,Latvia,LVA,2015,74.5,7.17,31.97,48.85
European Union,Lithuania,LTU,2006,71.1,6.6,37.91,76.78
Africa,Kenya,KEN,2011,61.9,0.22,1.77,14.06
Rest of Europe,Serbia,SRB,2007,73.6,3.5,28.52,59.5
Rest of Europe,Norway,NOR,2015,82.3,8.42,40.91,155.19
Middle East,Turkiye,TUR,2002,71.1,2.44,13.71,16.98
Central America and Caribbean,Grenada,GRD,2010,72.9,0.81,7.17,NA
South America,Colombia,COL,2004,74,9.22,13.99,6.36
Africa,Madagascar,MDG,2002,59.7,0.07,1.3,2.99
Asia,Cambodia,KHM,2012,67.5,0.15,1.63,9.13
European Union,Malta,MLT,2005,79.3,4.72,34.04,56.74
Oceania,Kiribati,KIR,2010,65.8,0.37,3.77,37.17
Middle East,Bahrain,BHR,2014,76.6,1,9.74,25.37
Asia,Philippines,PHL,2000,68.8,1.08,11.94,42.28
European Union,Malta,MLT,2001,78.8,3.92,30.31,36.57
Africa,Egypt Arab Rep ,EGY,2014,71.1,1.5,7.3,18.13
Africa,Morocco,MAR,2002,69.8,0.96,4.78,NA
Africa,Zimbabwe,ZWE,2015,59.5,0.05,1.74,13.26
European Union,Czechia,CZE,2003,75.2,6.57,35.09,84.06
Central America and Caribbean,Antigua and Barbuda,ATG,2014,76.3,0.45,NA,48.87
Asia,Azerbaijan,AZE,2010,70.9,2.7,36.17,72.59
European Union,Finland,FIN,2014,81.2,7.33,26.91,117.64
Rest of Europe,Ukraine,UKR,2010,70.3,6.49,34.33,73.65
Asia,Kyrgyz Republic,KGZ,2003,68.3,1.92,20.81,52.34
Oceania,Fiji,FJI,2003,66.2,0.69,4.39,19.16
European Union,Latvia,LVA,2001,70.8,5.3,26.86,47.14
European Union,Austria,AUT,2011,81,5.87,48.53,68.55
Africa,Senegal,SEN,2008,62.9,0.09,0.62,4.36
Rest of Europe,Armenia,ARM,2007,72.8,3.39,26.35,50.69
European Union,Ireland,IRL,2015,81.5,6.01,31.19,123.45
Africa,Tunisia,TUN,2001,73.4,1.4,7.87,20.11
Asia,Singapore,SGP,2005,80,2.77,14.59,38.15
Asia,Bangladesh,BGD,2008,69.1,0.23,3.3,1.57
South America,Ecuador,ECU,2015,76.1,2.67,18.06,22.16
Asia,Malaysia,MYS,2013,75.1,1.74,15.55,38.37
Middle East,Lebanon,LBN,2010,78.4,10.7,22.98,17.44
Central America and Caribbean,St Vincent and the Grenadines,VCT,2001,70.9,1.85,5.46,41.94
Asia,India,IND,2008,65.8,0.77,6.3,13.68
Africa,Niger,NER,2004,52.7,0.01,0.22,2.12
Asia,Thailand,THA,2009,73.8,1.46,3.33,16.12
Asia,Lao PDR,LAO,2012,65.3,0.49,3.21,8.56
Africa,Seychelles,SYC,2011,72.7,1.86,11.03,NA
Central America and Caribbean,Jamaica,JAM,2003,74.1,0.8,8.48,16.47
Africa,Madagascar,MDG,2007,62.1,0.1,1.73,2.81
Rest of Europe,Georgia,GEO,2012,72.1,5.23,47.5,39.4
Middle East,Saudi Arabia,SAU,2008,73.6,2.98,19.71,43.5
Rest of Europe,Switzerland,CHE,2005,81.2,5.07,37.4,129.25
Asia,Pakistan,PAK,2008,64.7,0.48,7.07,4.8
European Union,Netherlands,NLD,2002,78.3,3.96,25.53,77.66
Oceania,Timor Leste,TLS,2013,68,0.06,6.15,9.08
Asia,Azerbaijan,AZE,2004,68.2,2.73,35.4,81.52
European Union,Bulgaria,BGR,2001,71.8,8.18,34.29,41.98
South America,Colombia,COL,2005,74.3,9.7,14.43,6.78
Africa,Tanzania,TZA,2012,60.5,0.02,0.31,4.39
European Union,Latvia,LVA,2000,70.3,5.22,28.79,47.82
Asia,Kyrgyz Republic,KGZ,2013,70.2,1.69,18.7,48.99
Middle East,Bahrain,BHR,2013,76.5,1.07,9.98,26.19
European Union,Spain,ESP,2013,83.1,6.92,37.91,52.93
European Union,Estonia,EST,2015,77.6,9.43,34.17,63.56
Rest of Europe,Russian Federation,RUS,2005,65.5,2.88,47.74,97.95
Africa,Tanzania,TZA,2014,62.3,0.02,0.6,4.28
European Union,Austria,AUT,2004,79.2,5.03,42.32,61.29
Asia,Myanmar,MMR,2009,63.1,0.47,5.04,8.9
European Union,Romania,ROU,2008,72.6,5.72,24.26,59.84
Asia,Singapore,SGP,2008,80.8,2.69,15.29,41.47
Asia,Bangladesh,BGD,2010,69.9,0.29,3.52,1.77
Rest of Europe,Bosnia and Herzegovina,BIH,2008,75.7,1.71,15.9,49.36
North America,United States,USA,2010,78.5,5.89,24.19,108.83
Oceania,Timor Leste,TLS,2002,60.9,0.02,NA,NA
European Union,Finland,FIN,2003,78.4,9.53,25.64,NA
Rest of Europe,Armenia,ARM,2006,72.7,3.16,25.62,50.57
Africa,Madagascar,MDG,2006,61.7,0.1,1.63,2.89
Africa,Algeria,DZA,2013,75.7,3.33,17.24,NA
Middle East,United Arab Emirates,ARE,2003,75,3.04,18.38,35.02
Rest of Europe,United Kingdom,GBR,2008,79.6,4.94,25.59,91.23
Asia,Uzbekistan,UZB,2001,67.4,2.11,29.11,108.85
Central America and Caribbean,Panama,PAN,2012,77.2,3.28,16.03,NA
Middle East,Saudi Arabia,SAU,2009,73.8,3.03,19.37,45.78
Asia,Cambodia,KHM,2014,68.3,0.16,1.67,9.55
Rest of Europe,Bosnia and Herzegovina,BIH,2009,75.8,1.75,16.74,51.13
European Union,Hungary,HUN,2015,75.6,6.03,30.98,66.44
Africa,Nigeria,NGA,2006,48.8,0.15,3.33,14.37
Central America and Caribbean,Nicaragua,NIC,2007,71.7,0.44,5.35,12.02
Africa,Nigeria,NGA,2011,51.3,0.17,NA,NA
South America,Colombia,COL,2009,75.2,11.26,16.39,8.51
European Union,Romania,ROU,2011,74.4,6.57,25.22,58.24
North America,United States,USA,2015,78.7,6,25.37,111.66
Oceania,New Zealand,NZL,2005,79.9,3.96,21.05,97.08
Africa,Namibia,NAM,2007,52.6,0.45,3.83,28.49
Middle East,Lebanon,LBN,2001,75,9.73,26.14,9.44
Africa,Algeria,DZA,2005,73.1,2.73,10.26,NA
European Union,Slovak Republic,SVK,2000,73.1,4.43,32.38,74.49
North America,Canada,CAN,2014,81.8,6.15,NA,97.91
Africa,Algeria,DZA,2004,72.6,2.71,11.56,NA
Middle East,United Arab Emirates,ARE,2014,77.1,4.87,22.32,44.29
North America,United States,USA,2005,77.5,5.8,24.3,104.09
Asia,Kazakhstan,KAZ,2009,68.4,3.42,36.5,73.68
Asia,Uzbekistan,UZB,2015,70.9,1.08,23.63,112.48
Africa,Morocco,MAR,2004,71.1,1.05,5.6,8.12
European Union,Greece,GRC,2013,81.3,12.68,58.11,35.36
Rest of Europe,Georgia,GEO,2003,70.3,3.45,39.7,43.92
Asia,India,IND,2013,67.9,1.14,7.09,NA
Rest of Europe,Moldova,MDA,2004,67.7,3.47,22.47,53.38
Middle East,Iran Islamic Rep ,IRN,2014,75.5,3.41,14.3,14.87
European Union,Portugal,PRT,2009,78.7,7.33,38.58,56.35
North America,Canada,CAN,2006,80.3,5.62,NA,88.07
European Union,Italy,ITA,2011,82.2,5.83,38.35,54.12
Asia,Malaysia,MYS,2001,72.8,0.95,6.86,21.1
Rest of Europe,North Macedonia,MKD,2012,74.9,8.15,28.39,42.47
Rest of Europe,Armenia,ARM,2000,71.4,2.37,26.52,58.03
Middle East,Turkiye,TUR,2006,72.8,2.62,14.92,18.15
European Union,Czechia,CZE,2006,76.5,6.73,35.51,84.33
European Union,Hungary,HUN,2013,75.6,6.03,32.1,65.99
Middle East,Turkiye,TUR,2009,74.1,2.84,16.37,21.33
Asia,Uzbekistan,UZB,2003,67.9,2.09,27.86,107.91
European Union,Sweden,SWE,2007,80.9,8.29,36.25,114.79
Asia,Singapore,SGP,2000,78,2.35,13.37,32.42
Rest of Europe,Bosnia and Herzegovina,BIH,2013,76.6,2.24,19.97,57.89
European Union,Slovenia,SVN,2011,80,6.25,25,84.02
Oceania,Solomon Islands,SLB,2005,69.2,1.08,1.84,14.37
Rest of Europe,Bosnia and Herzegovina,BIH,2002,74.8,1.64,13,40.09
European Union,Czechia,CZE,2011,77.9,7.08,36.37,84.61
European Union,Croatia,HRV,2002,74.7,7.03,24.59,51.76
Central America and Caribbean,Panama,PAN,2009,76.6,2.9,13.15,NA
European Union,Spain,ESP,2014,83.2,7.13,37.81,53.05
European Union,Slovak Republic,SVK,2005,73.9,5.43,30.35,63.31
European Union,Lithuania,LTU,2012,73.9,8.99,42.17,78.92
European Union,Denmark,DNK,2003,77.1,8.52,30.81,95.28
Middle East,Israel,ISR,2003,79.6,9.48,36.99,56.64
European Union,Luxembourg,LUX,2011,81,8.41,27.77,116.29
Asia,Tajikistan,TJK,2008,67.9,1.46,18.95,34.95
Africa,South Africa,ZAF,2014,62,1.05,7.4,12.03
Central America and Caribbean,Nicaragua,NIC,2005,71.2,0.46,5.09,11.78
Oceania,New Zealand,NZL,2003,79.1,3.93,21.77,90.77
South America,Argentina,ARG,2015,76.1,11.18,49.69,55.41
Central America and Caribbean,Panama,PAN,2015,77.8,3,15.79,27.68
Asia,Tajikistan,TJK,2010,68.7,1.58,16.7,38.87
Asia,Bangladesh,BGD,2014,71.2,0.4,4.78,2.43
Middle East,Israel,ISR,2000,79,8.18,36.97,58.23
European Union,Belgium,BEL,2009,80,7.08,29.2,99.25
Central America and Caribbean,Belize,BLZ,2007,70.6,1.05,8.65,17.63
Africa,Tunisia,TUN,2006,74.4,1.8,9.33,21.58
Central America and Caribbean,Trinidad and Tobago,TTO,2009,71.7,2.26,14.44,33.25
Africa,Nigeria,NGA,2014,52.7,0.19,NA,NA
European Union,Poland,POL,2000,73.7,3.07,22.23,55.32
Middle East,Israel,ISR,2009,81.4,8.47,35.26,51.33
South America,Ecuador,ECU,2012,75.5,2.22,15.61,20.79
Middle East,Israel,ISR,2006,80.6,8.13,35.93,55.95
Africa,Tunisia,TUN,2000,73.2,1.35,7.62,20.29
Africa,Mauritius,MUS,2007,72.6,1.8,11.23,25.99
Asia,India,IND,2007,65.4,0.61,6.14,13.21
Asia,Kazakhstan,KAZ,2012,69.5,4,37.86,78.06
European Union,Luxembourg,LUX,2003,77.7,6.49,23.77,91.88
European Union,Italy,ITA,2012,82.2,6.53,38.1,53.25
European Union,Italy,ITA,2008,81.5,4.8,37.4,54.7
Africa,Nigeria,NGA,2003,47.2,0.18,2.55,15.33
Africa,Liberia,LBR,2008,58.2,0.01,0.13,2.56
Asia,Tajikistan,TJK,2002,63.7,1.46,16.65,37.98
Rest of Europe,Russian Federation,RUS,2006,66.7,2.9,48.73,98.67
European Union,Germany,DEU,2003,78.4,7.67,33.69,92.07
Africa,Ethiopia,ETH,2003,54.2,0.01,0.26,2.11
South America,Chile,CHL,2014,79.5,9.02,20.16,25.5
Rest of Europe,Ukraine,UKR,2008,68.3,4.54,30.74,65.15
Middle East,Kuwait,KWT,2012,74.7,6.14,24.75,64.44
North America,Mexico,MEX,2007,75.3,1.01,19.29,22.92
Middle East,United Arab Emirates,ARE,2008,76,3.37,18.45,31.7
Central America and Caribbean,El Salvador,SLV,2002,69.4,5.79,13.26,NA
European Union,Cyprus,CYP,2000,78,6.53,18.99,30.93
Middle East,Turkiye,TUR,2015,76.5,3.1,17.65,25.73
European Union,Austria,AUT,2015,81.2,5.94,50.98,70.42
Africa,Morocco,MAR,2011,74.7,1.36,6,NA
Asia,Cambodia,KHM,2010,66.6,0.17,2.27,8.45
Africa,Gambia The,GMB,2007,58.7,0.06,0.9,7.15
North America,United States,USA,2006,77.7,5.78,24.21,105.03
Middle East,Turkiye,TUR,2001,70.6,2.43,13.56,17.25
Central America and Caribbean,Jamaica,JAM,2008,74.1,0.17,4.05,10.75
European Union,Spain,ESP,2004,79.9,4.87,34.19,44.25
Africa,Gambia The,GMB,2006,58.3,0.06,1.02,4.39
European Union,Greece,GRC,2006,79.4,12.87,54.1,34.76
South America,Colombia,COL,2008,75,10.76,15.82,8.02
Asia,Singapore,SGP,2009,81.2,2.74,15.56,44.56
South America,Paraguay,PRY,2012,73.1,1.79,13.91,11.34
European Union,Denmark,DNK,2001,76.8,8.6,29.33,95.77
Asia,Uzbekistan,UZB,2011,69.9,1.81,25.17,114.85
Middle East,Israel,ISR,2011,81.7,7.85,35.2,51.05
Africa,Tanzania,TZA,2006,55.1,0.01,NA,2.34
Middle East,Lebanon,LBN,2014,78.7,8.62,20.45,16.46
European Union,Slovak Republic,SVK,2002,73.6,4.35,32.01,71.32
Middle East,Oman,OMN,2002,73,1.43,15.13,35.27
European Union,Greece,GRC,2015,81,12.29,59.02,34.49
Africa,Algeria,DZA,2002,71.6,2.79,11.14,21.97
Asia,Myanmar,MMR,2015,65.8,0.64,NA,NA
South America,Uruguay,URY,2002,75.2,12,37.77,NA
Africa,Zambia,ZMB,2010,55.7,0.18,0.6,7.11
Africa,Tunisia,TUN,2010,75,2.91,12.07,22.14
Africa,Egypt Arab Rep ,EGY,2015,71.3,1.7,7.63,18.02
European Union,Czechia,CZE,2015,78.6,8.04,NA,84.32
Asia,Sri Lanka,LKA,2011,75.6,0.55,7.18,17.7
European Union,Romania,ROU,2012,74.4,6.84,25.98,59.57
Africa,Mali,MLI,2004,51.2,0.03,0.55,6.36
Rest of Europe,North Macedonia,MKD,2009,74.4,6.92,26.03,41.12
Africa,Seychelles,SYC,2009,73.1,1.71,11,NA
European Union,Sweden,SWE,2001,79.8,8.11,31.21,104.79
Central America and Caribbean,Belize,BLZ,2006,70.3,0.87,9.14,15.39
Rest of Europe,Iceland,ISL,2002,80.5,10.01,35.78,139.92
Rest of Europe,Switzerland,CHE,2015,82.9,5.07,41.96,168.88
Rest of Europe,Armenia,ARM,2012,73.8,4.41,28.59,52.2
European Union,Czechia,CZE,2002,75.2,6.54,34.91,84.42
Rest of Europe,Bosnia and Herzegovina,BIH,2011,76.2,2.16,18.39,54.88
Central America and Caribbean,Costa Rica,CRI,2000,77.5,3.73,13.22,11.84
South America,Chile,CHL,2009,78.6,0.01,10.22,NA
North America,United States,USA,2001,76.8,5.75,23.53,102.08
Rest of Europe,United Kingdom,GBR,2014,81.3,5.3,27.38,83.94
Central America and Caribbean,Cuba,CUB,2010,78.3,10.75,67.72,91.18
Asia,Kyrgyz Republic,KGZ,2001,68.7,2.12,17.45,72.63
Asia,Kazakhstan,KAZ,2002,66,3.2,34.27,63.58
European Union,Czechia,CZE,2009,77.1,6.81,35.84,85.28
Middle East,Yemen Rep ,YEM,2014,66.1,0.18,2.7,7.51
Asia,Brunei Darussalam,BRN,2008,74.5,2.17,14.93,51.38
Rest of Europe,Ukraine,UKR,2012,70.9,6.64,34.34,73.9
Oceania,New Zealand,NZL,2013,81.4,6.15,28.22,105.73
Africa,Mauritius,MUS,2012,73.9,2.34,13.36,28.99
Central America and Caribbean,Costa Rica,CRI,2012,79.1,9.66,24.71,20.42
European Union,Denmark,DNK,2005,77.8,8.57,33.35,98.32
Rest of Europe,Norway,NOR,2000,78.6,8.03,33.8,NA
European Union,France,FRA,2009,81.4,6.83,33.39,84.02
North America,Canada,CAN,2015,81.9,6.24,NA,98.72
Middle East,Iran Islamic Rep ,IRN,2015,75.8,3.17,10.95,17.96
Asia,Japan,JPN,2000,81.1,6.96,19.31,82.15
European Union,Romania,ROU,2010,73.5,6.34,24.85,57.22
Rest of Europe,Belarus,BLR,2014,73,5.72,40.82,109.35
Rest of Europe,Georgia,GEO,2000,69.9,3.48,38.67,47.38
Africa,Cameroon,CMR,2010,55.1,0.03,0.87,5.45
European Union,Germany,DEU,2002,78.2,7.59,33.38,90.17
Africa,Kenya,KEN,2010,61,0.22,1.71,7.13
Asia,Azerbaijan,AZE,2013,71.8,2.58,34.13,65.59
Asia,Cambodia,KHM,2013,67.9,0.16,1.4,9.37
European Union,Malta,MLT,2010,81.4,4.35,30.26,67.14
Africa,Equatorial Guinea,GNQ,2004,54.3,0.06,1.7,3.01
Asia,China,CHN,2005,73,0.39,12.39,10.3
Asia,Turkmenistan,TKM,2012,67.2,1.06,20.29,40.78
Rest of Europe,Norway,NOR,2006,80.3,8.81,37.32,158.37
Central America and Caribbean,Barbados,BRB,2001,77.4,2.29,16.01,60.21
