Region,Country,iso3,year,lifeExpectancy,dentists,medics,nursesMid
Africa,Chad,TCD,2004,48.3,0.01,0.35,2.52
Asia,Uzbekistan,UZB,2010,69.7,1.8,25.55,114.32
South America,Ecuador,ECU,2004,73.9,1.23,8.84,13.7
South America,Chile,CHL,2002,76.9,0.01,8.82,NA
European Union,Ireland,IRL,2009,80.2,5.96,40.07,129.31
Asia,Sri Lanka,LKA,2006,74.9,0.58,5.05,16.18
Rest of Europe,Switzerland,CHE,2008,82,5.22,38.2,138.88
European Union,France,FRA,2001,79.2,7.12,33.58,69.72
Africa,Namibia,NAM,2004,50.6,0.42,3.08,31.64
Asia,Brunei Darussalam,BRN,2002,73.3,2.06,11.76,62.34
Africa,Mozambique,MOZ,2013,54.9,0.05,0.58,4.27
European Union,Latvia,LVA,2002,71,5.46,27.88,47.65
Asia,Turkmenistan,TKM,2002,64.1,2.09,26.57,71.95
Asia,Malaysia,MYS,2007,73.9,1.17,8.79,26.03
Africa,Tunisia,TUN,2005,74.2,1.8,9.19,20.41
Central America and Caribbean,Cuba,CUB,2012,78.4,12.38,72.6,81.51
European Union,Austria,AUT,2007,80.2,5.59,45.44,64.25
South America,Uruguay,URY,2008,76.4,7.5,39.96,59.34
Rest of Europe,Armenia,ARM,2003,72.3,2.07,24.39,49.04
European Union,Luxembourg,LUX,2004,79.1,7.72,24.22,93.59
Middle East,Turkiye,TUR,2010,74.5,2.92,16.83,22.51
Africa,Libya,LBY,2015,72.1,7.64,18.61,NA
Middle East,Turkiye,TUR,2013,75.8,2.92,17.51,25.26
European Union,Lithuania,LTU,2007,70.9,7.18,38.84,76.59
European Union,Greece,GRC,2010,80.4,13.18,57.56,36.84
Rest of Europe,Russian Federation,RUS,2015,71.2,2.81,39.25,93.89
European Union,Bulgaria,BGR,2012,74.3,9.48,38.68,48.31
Oceania,Solomon Islands,SLB,2011,71,0.65,1.97,17.49
Africa,Madagascar,MDG,2005,61.2,0.1,1.72,3.35
Rest of Europe,North Macedonia,MKD,2008,74.4,6.67,25.9,40
European Union,Greece,GRC,2001,78.4,11.43,44.22,31.76
Rest of Europe,Moldova,MDA,2011,70.1,4.7,28.28,64.73
European Union,Hungary,HUN,2008,73.7,5.06,30.97,63.33
Africa,Libya,LBY,2009,72.1,5.96,18.86,67.51
Africa,Tunisia,TUN,2002,73.6,1.4,7.99,20.7
Africa,Mauritius,MUS,2011,73.3,2.08,14.07,28.53
European Union,Germany,DEU,2008,79.7,8.01,35.84,99.49
Central America and Caribbean,Haiti,HTI,2011,60.9,0.05,1.4,12.09
Central America and Caribbean,Cuba,CUB,2002,77.1,8.91,60.01,75.04
South America,Ecuador,ECU,2001,73.1,1.2,8.51,13.54
Africa,Congo Dem Rep ,COD,2009,56.4,0.01,0.88,3.85
Africa,Gambia The,GMB,2008,59,0.07,0.96,7.76
Asia,Turkmenistan,TKM,2014,67.6,1.04,20.02,39.84
Oceania,Tonga,TON,2010,70.1,0.93,5.4,37.24
European Union,Germany,DEU,2000,77.9,7.51,32.63,88.39
Asia,Uzbekistan,UZB,2005,68.4,1.97,26.77,110.09
Oceania,Kiribati,KIR,2011,66.1,0.27,1.36,37.25
Oceania,Timor Leste,TLS,2004,62.9,0.02,NA,19.32
Central America and Caribbean,Panama,PAN,2007,76.2,2.75,13.09,NA
Africa,Ghana,GHA,2008,60.2,0.02,0.77,9.42
Middle East,Bahrain,BHR,2011,76.2,1.05,10.01,26.45
Middle East,United Arab Emirates,ARE,2004,75.2,3.35,17.62,30.79
European Union,Germany,DEU,2004,78.7,7.73,33.92,92.94
Rest of Europe,Iceland,ISL,2012,82.9,8.42,35.6,159.57
Asia,Brunei Darussalam,BRN,2005,74,2.03,10.87,55.89
Middle East,Bahrain,BHR,2006,75.5,1.04,9.77,26.19
Oceania,Samoa,WSM,2013,72.4,0.61,4.64,NA
Asia,Kazakhstan,KAZ,2007,66.3,3.52,35.3,71.32
Rest of Europe,United Kingdom,GBR,2010,80.4,5.13,26.45,88.59
Middle East,Kuwait,KWT,2005,73.5,4.1,22.02,48.02
Rest of Europe,North Macedonia,MKD,2002,73,5.7,22.04,36.78
European Union,Estonia,EST,2000,70.4,7.54,29.42,61.99
Central America and Caribbean,Trinidad and Tobago,TTO,2000,69.4,1.5,9.66,24.96
Asia,Kazakhstan,KAZ,2008,67.1,3.43,35.88,68.57
Oceania,New Zealand,NZL,2011,80.9,5.98,26.55,107.04
European Union,Slovenia,SVN,2013,80.3,6.5,26.34,83.92
European Union,Sweden,SWE,2014,82.3,8.15,41.09,117.11
Rest of Europe,Georgia,GEO,2005,70.5,3.39,39.91,43.31
European Union,Portugal,PRT,2003,77.2,5.34,33.42,41.94
Central America and Caribbean,Costa Rica,CRI,2014,79.4,9.24,26.59,24.08
Central America and Caribbean,Cuba,CUB,2005,77.7,9.37,62.68,79.43
Africa,Nigeria,NGA,2008,49.9,0.16,3.59,14.27
European Union,Belgium,BEL,2015,81,7.35,30.17,118.21
European Union,Greece,GRC,2012,80.6,12.86,57.78,35.81
European Union,Netherlands,NLD,2015,81.5,5.1,34.57,106.43
Africa,Cameroon,CMR,2007,53.7,0.02,0.73,4.56
Middle East,Oman,OMN,2007,74.9,2.04,19.1,40.44
Central America and Caribbean,Cuba,CUB,2004,77.5,9.3,62.03,75.34
North America,United States,USA,2004,77.5,5.8,23.92,102.97
European Union,Hungary,HUN,2011,74.9,5.26,29.66,64
Africa,Morocco,MAR,2009,74,1.27,5.54,9.27
Central America and Caribbean,St Lucia,LCA,2012,75.1,2.84,21.9,NA
North America,United States,USA,2012,78.7,5.96,24.74,110.32
Asia,Brunei Darussalam,BRN,2007,74.4,2.18,10.6,51.63
Rest of Europe,Armenia,ARM,2010,73.3,4.29,27.9,51.44
Africa,Nigeria,NGA,2013,52.2,0.22,3.63,9.73
Oceania,Australia,AUS,2005,80.8,4.96,27.64,97.07
European Union,Poland,POL,2008,75.5,3.43,21.69,57.95
European Union,Italy,ITA,2006,81.3,6.3,36.85,53.52
Central America and Caribbean,Panama,PAN,2008,76.4,2.83,13.87,NA
European Union,Cyprus,CYP,2014,80.2,6.98,23.96,37.52
Africa,Cabo Verde,CPV,2008,70.8,0.06,NA,NA
Asia,India,IND,2004,64.1,0.49,5.67,NA
North America,Canada,CAN,2009,81,5.72,NA,92.9
Oceania,Australia,AUS,2000,79.2,4.54,24.76,100.13
European Union,Croatia,HRV,2005,75.2,7.46,25.73,53.26
Rest of Europe,Moldova,MDA,2012,70.6,4.8,28.89,65.6
European Union,Ireland,IRL,2010,80.7,5.97,41.32,134.51
South America,Ecuador,ECU,2003,73.6,1.24,8.08,12.97
European Union,Slovak Republic,SVK,2001,73.4,4.41,32.23,72.63
European Union,Greece,GRC,2007,79.4,13.06,56.32,34.61
European Union,Croatia,HRV,2015,77.3,8,32.1,62.65
Central America and Caribbean,St Vincent and the Grenadines,VCT,2004,71.2,1.15,8.95,44.68
Rest of Europe,North Macedonia,MKD,2003,73.2,5.44,21.37,34.76
Rest of Europe,North Macedonia,MKD,2001,73.4,5.45,21.58,35.35
Central America and Caribbean,Barbados,BRB,2005,77.9,3.09,18.2,48.79
Oceania,New Zealand,NZL,2004,79.5,3.85,21.9,94.23
North America,Canada,CAN,2005,80.2,5.6,NA,86.91
Oceania,Papua New Guinea,PNG,2000,59.3,0.16,0.5,5.13
North America,Mexico,MEX,2004,75.2,0.98,16.55,21.15
Asia,Uzbekistan,UZB,2007,68.9,1.75,26.45,109.24
Central America and Caribbean,Panama,PAN,2002,75.4,2.87,13.43,19.29
European Union,Ireland,IRL,2006,79.2,5.66,36.33,125.56
European Union,Poland,POL,2001,74.2,2.65,22.67,54.47
European Union,Spain,ESP,2002,79.6,4.62,31.05,42
North America,Mexico,MEX,2003,75.1,0.94,15.8,21.39
Middle East,Bahrain,BHR,2015,76.8,0.98,9.27,24.98
European Union,Portugal,PRT,2000,76.3,4.33,32.07,NA
European Union,Greece,GRC,2011,80.7,13.07,57.74,37.06
Middle East,Jordan,JOR,2014,74,7.83,22.36,34.85
Rest of Europe,Ukraine,UKR,2009,69.2,6.37,34.42,74.38
Rest of Europe,North Macedonia,MKD,2013,75.4,8.47,28.83,43.35
European Union,France,FRA,2010,81.7,6.8,33.45,85.71
Rest of Europe,Norway,NOR,2011,81.3,8.84,41.88,169.37
Central America and Caribbean,St Lucia,LCA,2010,74.9,1.64,16.79,NA
Rest of Europe,Georgia,GEO,2009,71.2,2.77,44.38,40.95
Middle East,Syrian Arab Republic,SYR,2013,70,8.04,14.85,20.89
Rest of Europe,Switzerland,CHE,2011,82.7,5.21,38.32,154.55
European Union,Estonia,EST,2006,72.7,8.87,31.82,66.12
European Union,Finland,FIN,2012,80.6,7.34,26.02,114.1
Rest of Europe,Ukraine,UKR,2013,71.2,6.71,34.33,74.32
European Union,France,FRA,2005,80.2,7.07,34.13,76.43
Asia,Singapore,SGP,2015,82.7,3.6,21.4,61.04
European Union,Belgium,BEL,2011,80.6,7.05,29.15,103.67
European Union,Spain,ESP,2009,81.5,5.73,35.77,50.83
Africa,Mozambique,MOZ,2004,50.1,0.01,0.26,3.28
Africa,Sierra Leone,SLE,2010,49.4,0.01,0.22,NA
Central America and Caribbean,Jamaica,JAM,2014,74,0.13,3.91,14.69
Rest of Europe,Norway,NOR,2002,79,8.09,32.18,142.24
Africa,Seychelles,SYC,2004,72.7,1.47,13.72,71.88
Asia,Uzbekistan,UZB,2006,68.7,1.8,26.62,108.29
Middle East,Kuwait,KWT,2002,73.3,3.18,19.22,48.72
European Union,Croatia,HRV,2003,74.6,7.16,25.12,51.95
European Union,Luxembourg,LUX,2005,79.4,7.95,25.57,112.91
Rest of Europe,Moldova,MDA,2005,67.8,3.64,25.15,58.89
Rest of Europe,Iceland,ISL,2000,79.7,10.06,34.41,139.85
Middle East,Lebanon,LBN,2009,78.2,9.94,NA,16.6
European Union,Ireland,IRL,2004,78.5,5.5,27.4,123.46
Asia,Philippines,PHL,2004,69,5.31,10.86,41.56
Middle East,Israel,ISR,2008,81,8.28,35.2,52.58
Asia,Mongolia,MNG,2012,68.2,2.85,30.75,38.22
Asia,Singapore,SGP,2010,81.5,2.78,16.72,48.41
Africa,Rwanda,RWA,2015,67.5,0.11,1.1,9.65
European Union,Sweden,SWE,2011,81.8,8.18,38.88,116.44
Rest of Europe,Belarus,BLR,2005,68.9,4.71,33.26,99.32
Asia,Tajikistan,TJK,2009,68.4,1.51,16.16,35.37
Rest of Europe,Georgia,GEO,2001,70.1,3.17,37.93,43.97
Rest of Europe,Bosnia and Herzegovina,BIH,2005,75.2,1.76,14.09,44.75
Central America and Caribbean,Dominican Republic,DOM,2011,72.3,1.92,15.07,13.45
European Union,Luxembourg,LUX,2001,77.8,6.23,22.09,76.75
Middle East,Turkiye,TUR,2005,72.4,2.62,14.55,17.56
Middle East,Iraq,IRQ,2010,68.6,1.55,6.36,NA
South America,Ecuador,ECU,2009,74.9,1.7,12.16,16.34
Rest of Europe,Moldova,MDA,2014,71.3,5.27,34.69,64.72
European Union,Cyprus,CYP,2010,79.4,6.85,21.27,34.99
Central America and Caribbean,Panama,PAN,2011,77,3.02,15.03,23.23
Central America and Caribbean,Belize,BLZ,2004,69.7,0.44,8.13,16.53
European Union,Malta,MLT,2014,82,4.63,36.04,82.92
European Union,Malta,MLT,2012,80.7,4.45,32.37,69.67
Asia,Azerbaijan,AZE,2008,70.2,2.78,36.35,80.51
Oceania,Australia,AUS,2003,80.2,4.71,26.15,98.88
European Union,Bulgaria,BGR,2007,72.7,8.52,36.75,46.98
Africa,Mauritania,MRT,2004,61.2,0.16,1.09,6.6
Middle East,Oman,OMN,2009,75.4,2.32,20.72,45.08
Rest of Europe,Russian Federation,RUS,2010,68.8,2.88,49.73,96.57
European Union,Malta,MLT,2008,79.6,4.37,32.79,66.42
Rest of Europe,Albania,ALB,2002,74.6,4.28,11.67,36.6
South America,Brazil,BRA,2006,72.3,11.64,NA,NA
European Union,Hungary,HUN,2009,73.9,4.92,30.27,63.97
Oceania,New Zealand,NZL,2008,80.4,4.49,24.63,103.24
Africa,Morocco,MAR,2013,75.2,1.39,5.07,9.7
European Union,France,FRA,2014,82.7,6.5,31.69,89.11
Africa,Kenya,KEN,2014,64.1,0.24,1.99,9.41
Africa,Nigeria,NGA,2015,53.1,0.2,NA,NA
Asia,Turkmenistan,TKM,2006,65.4,1.11,22.36,44.74
European Union,Slovak Republic,SVK,2012,76.1,4.93,33.66,61.51
Middle East,United Arab Emirates,ARE,2010,76.3,4.44,17.49,32.69
Asia,Malaysia,MYS,2006,73.7,1.11,8.3,26.58
North America,Mexico,MEX,2015,74.9,1.31,23.4,27.73
Asia,Cambodia,KHM,2011,67,0.2,2.24,8.63
Central America and Caribbean,Dominican Republic,DOM,2008,71.6,1.26,10.85,NA
European Union,Bulgaria,BGR,2008,73,8.38,36.43,47.31
Asia,Kyrgyz Republic,KGZ,2002,68.2,2.06,20.17,68.39
Central America and Caribbean,St Vincent and the Grenadines,VCT,2012,71.9,1.66,9.38,NA
Asia,Indonesia,IDN,2009,68.9,0.22,2.59,NA
Asia,Myanmar,MMR,2005,61.6,0.34,3.92,7.7
Rest of Europe,Serbia,SRB,2011,74.5,3.46,30.43,62.33
Rest of Europe,Moldova,MDA,2001,67.2,3.11,22.91,55.31
South America,Ecuador,ECU,2007,74.5,1.59,9.78,14.14
Oceania,Timor Leste,TLS,2001,59.9,0.01,NA,NA
European Union,Czechia,CZE,2007,76.7,6.72,35.61,84.15
Rest of Europe,Armenia,ARM,2002,72.1,1.92,25.45,50.93
Rest of Europe,Georgia,GEO,2008,70.9,2.96,42.05,41.39
Rest of Europe,United Kingdom,GBR,2007,79.4,4.79,24.81,91.05
Oceania,Solomon Islands,SLB,2012,71.3,0.38,1.5,16.84
South America,Brazil,BRA,2003,71.2,9.47,NA,36.84
European Union,Luxembourg,LUX,2013,81.8,8.47,28.3,123
Middle East,Saudi Arabia,SAU,2013,74.4,4.46,24.26,NA
Middle East,Kuwait,KWT,2009,74.2,5.48,24.3,61.91
North America,Mexico,MEX,2008,75.2,1.05,19.57,23.16
Africa,Botswana,BWA,2012,63.5,0.26,3.88,27.58
European Union,Austria,AUT,2005,79.3,5.14,43.48,61.97
Africa,Djibouti,DJI,2004,57.7,0.12,1.56,3.58
Central America and Caribbean,Grenada,GRD,2001,72.8,0.83,5.37,33.89
Oceania,Australia,AUS,2012,82,5.59,32.93,101.66
Middle East,Syrian Arab Republic,SYR,2009,72.9,7.19,13.62,17.78
Middle East,Lebanon,LBN,2015,78.8,8.54,21.23,15.56
Oceania,Kiribati,KIR,2013,66.7,0.62,1.93,54.48
Asia,India,IND,2001,62.9,0.44,5.45,NA
Africa,Nigeria,NGA,2009,50.4,0.15,3.6,10.25
Rest of Europe,Russian Federation,RUS,2002,65.1,2.96,46.76,99.76
European Union,Romania,ROU,2001,71.2,3.75,19.88,54.73
Asia,Turkmenistan,TKM,2009,66.4,1.06,21.05,41.37
Middle East,Israel,ISR,2013,82.1,6.97,34.72,51.1
Africa,Zimbabwe,ZWE,2008,46.5,0.14,NA,NA
Asia,Philippines,PHL,2015,70.6,2.26,6.09,45.28
Rest of Europe,Montenegro,MNE,2010,76,0.48,20.19,52.18
Middle East,Kuwait,KWT,2013,74.9,6.27,25.47,62.39
European Union,Netherlands,NLD,2012,81.1,4.9,32.23,NA
South America,Suriname,SUR,2004,68.6,0.82,7.78,15.39
Africa,Seychelles,SYC,2008,73.2,1.3,7.57,44
Africa,Mali,MLI,2009,54.8,0.03,1.16,4.19
Asia,Uzbekistan,UZB,2008,69.2,1.82,26.17,111.88
North America,United States,USA,2011,78.6,5.93,24.44,109.95
Africa,Botswana,BWA,2009,58.4,0.28,3.48,29.22
European Union,Portugal,PRT,2005,78.1,5.93,35.02,45.85
Asia,Tajikistan,TJK,2000,62,1.47,16.45,41.36
Asia,Cambodia,KHM,2009,66,0.17,2.35,8.44
Africa,Guinea Bissau,GNB,2009,54.1,0.05,0.81,6.83
Central America and Caribbean,Cuba,CUB,2006,77.9,9.53,63.39,83.8
Rest of Europe,Moldova,MDA,2009,69.1,4.3,27.09,62.2
Rest of Europe,Albania,ALB,2006,75.4,3.39,11.89,41.78
European Union,Ireland,IRL,2011,80.7,5.82,41.08,129.43
European Union,Netherlands,NLD,2000,78,3.9,24.23,NA
Asia,Thailand,THA,2014,75.7,0.94,4.35,22.62
Africa,Libya,LBY,2014,72,7.13,20.37,67.24
Asia,Pakistan,PAK,2014,66.4,0.71,8.18,4.21
South America,Colombia,COL,2002,73.5,7.99,13.24,5.7
Oceania,Australia,AUS,2010,81.7,5.18,33.45,104.08
Asia,Mongolia,MNG,2009,66.9,1.98,26.79,36.34
European Union,France,FRA,2004,80.2,7.08,34.13,74.63
Middle East,United Arab Emirates,ARE,2011,76.5,4.17,17.86,35.49
Asia,Bangladesh,BGD,2002,66.4,0.14,NA,NA
Middle East,United Arab Emirates,ARE,2000,74.3,2.3,16.16,30.51
European Union,Czechia,CZE,2012,78.1,7.1,36.76,84.86
European Union,Luxembourg,LUX,2006,79.3,7.93,26.05,112.6
Rest of Europe,North Macedonia,MKD,2015,75.4,9.21,30.17,48.2
Middle East,Israel,ISR,2001,79.4,8.2,36.93,58.78
Asia,Philippines,PHL,2002,68.9,5.2,10.88,41.8
Middle East,Syrian Arab Republic,SYR,2000,73.1,6.71,13.47,19.28
Rest of Europe,North Macedonia,MKD,2007,73.8,6.29,24.27,37.05
South America,Chile,CHL,2007,78.1,0.01,10.28,NA
Africa,Mozambique,MOZ,2010,52.3,0.03,0.5,4.13
Central America and Caribbean,Costa Rica,CRI,2013,79.2,10.03,25.56,21.79
Asia,Malaysia,MYS,2004,73.4,1.01,7.22,23.78
North America,Mexico,MEX,2011,75,1.17,21.09,25.19
Africa,Seychelles,SYC,2005,72.1,1.12,11.65,43.67
Middle East,Jordan,JOR,2000,71.7,5.36,17.78,28.9
European Union,Slovak Republic,SVK,2007,74.2,5.32,33.88,66.39
Asia,Singapore,SGP,2013,82.2,3.36,19.2,56.69
Middle East,Israel,ISR,2015,82.1,8.24,34.31,52.07
Asia,Brunei Darussalam,BRN,2015,75.3,2.23,17.5,65.28
Central America and Caribbean,Cuba,CUB,2003,77.3,9.07,60.68,71.68
South America,Chile,CHL,2012,79.2,7.02,17.35,18.36
Africa,Mauritius,MUS,2009,72.9,1.96,11.53,27.37
European Union,Estonia,EST,2008,73.8,9.25,33.42,67.15
Rest of Europe,Serbia,SRB,2010,74.3,3.42,30.17,61.41
European Union,Latvia,LVA,2009,73.1,7.05,31.53,51.02
South America,Chile,CHL,2013,79.3,8.14,18.68,21.52
Africa,Congo Rep ,COG,2011,60.8,0.29,1.14,17.06
South America,Colombia,COL,2013,76.1,6.81,17.21,11.03
Asia,Maldives,MDV,2015,77.7,1.45,NA,69.83
Rest of Europe,Ukraine,UKR,2001,67.8,4.48,29.84,64.79
European Union,France,FRA,2007,81.1,6.98,33.88,79.19
Middle East,Kuwait,KWT,2011,74.6,5.86,24.84,65.74
Rest of Europe,Iceland,ISL,2006,81.2,9.41,36.03,145.02
Africa,Madagascar,MDG,2011,63.8,0.08,1.37,2.08
European Union,Sweden,SWE,2002,79.8,8.17,32.12,106.95
European Union,Finland,FIN,2013,81,7.28,26.52,116.26
Asia,Kazakhstan,KAZ,2013,70.6,3.65,38.32,77.83
European Union,Ireland,IRL,2003,78.1,5.44,25.72,147.72
Asia,Nepal,NPL,2004,64.7,0.09,2.07,4.55
European Union,Netherlands,NLD,2006,79.7,4.27,27.7,81.3
European Union,Netherlands,NLD,2007,80.1,4.44,27.68,82.27
Middle East,Jordan,JOR,2006,72.8,7.15,21.36,30.83
Central America and Caribbean,Trinidad and Tobago,TTO,2006,71,2.09,11.72,34.07
Rest of Europe,Serbia,SRB,2013,75.2,3.29,30.58,62.45
Central America and Caribbean,Grenada,GRD,2006,73.1,1.73,6.27,36.15
European Union,Portugal,PRT,2007,78.3,6.44,36.57,51.28
Rest of Europe,Norway,NOR,2012,81.5,8.65,42.32,170.69
Asia,Mongolia,MNG,2008,66.4,1.95,28.79,36.46
European Union,Sweden,SWE,2015,82.2,8.16,41.74,117.28
Asia,Malaysia,MYS,2015,75.5,2.04,14.89,40.13
Asia,Philippines,PHL,2010,69.8,2.25,5.43,26.47
Africa,Zimbabwe,ZWE,2011,52.9,0.19,0.78,12.52
European Union,Latvia,LVA,2011,73.6,7.07,31.34,51.51
Africa,Madagascar,MDG,2012,64.3,0.08,1.36,2.07
European Union,Finland,FIN,2015,81.5,7.3,26.98,120.22
Rest of Europe,Moldova,MDA,2013,71,5.14,30.6,65.59
Asia,Azerbaijan,AZE,2003,67.8,2.71,35.34,82.54
Oceania,Australia,AUS,2002,79.9,4.78,25.46,98.93
Asia,Pakistan,PAK,2004,63.7,0.38,6.79,4.19
Asia,Pakistan,PAK,2013,66.1,0.65,7.95,4.78
European Union,Portugal,PRT,2001,76.8,4.69,32.58,NA
Asia,Uzbekistan,UZB,2013,70.4,1.76,24.21,114.05
Asia,Turkmenistan,TKM,2008,66,0.96,21.26,41.94
