Region,Country,iso3,year,lifeExpectancy,dentists,medics,nursesMid
European Union,Finland,FIN,2008,79.6,7.43,24.11,102.59
Asia,Kazakhstan,KAZ,2010,68.5,3.95,37.91,74.53
European Union,Croatia,HRV,2004,75.5,7.41,25.74,52.9
North America,Canada,CAN,2004,79.9,5.74,NA,84.71
Central America and Caribbean,Panama,PAN,2013,77.4,2.71,15.86,29.38
Rest of Europe,Russian Federation,RUS,2009,68.7,2.85,49.44,97.24
Africa,Seychelles,SYC,2012,74.3,1.41,9.35,42.11
Asia,Tajikistan,TJK,2004,65.3,1.43,16.41,34.6
European Union,Romania,ROU,2000,71.2,3.61,19.61,53.94
Africa,Tunisia,TUN,2004,74,2.07,9.65,23.53
Africa,Comoros,COM,2012,62.6,0.26,1.81,NA
Asia,Thailand,THA,2012,75,0.82,3.65,19.31
Africa,Zimbabwe,ZWE,2009,48.4,0.14,1.15,9.05
Africa,Comoros,COM,2009,61.5,0.33,1.99,7.37
Rest of Europe,Switzerland,CHE,2014,83.2,5.1,41.25,164.53
South America,Guyana,GUY,2000,65.2,0.39,4.79,22.73
Asia,Philippines,PHL,2014,70.5,2.25,5.89,43.73
South America,Brazil,BRA,2002,70.8,9.14,NA,33.97
European Union,Latvia,LVA,2008,72.4,6.96,32.33,57.69
Middle East,Syrian Arab Republic,SYR,2005,74.4,8.36,15.01,18.39
Rest of Europe,Belarus,BLR,2012,72,5.49,38.85,108.62
South America,Colombia,COL,2000,72.9,7.76,12.64,5.04
European Union,Spain,ESP,2003,79.6,4.71,32,44.13
Asia,Sri Lanka,LKA,2000,71.3,0.33,4.13,11.6
Middle East,Kuwait,KWT,2010,74.4,5.55,24.7,66.37
European Union,Poland,POL,2007,75.2,3.51,21.97,57.68
North America,Mexico,MEX,2000,74.3,1.01,16.31,22.37
Africa,Guinea Bissau,GNB,2008,53.6,0.01,0.52,6.4
Asia,Turkmenistan,TKM,2003,64.4,2.02,25.51,75.46
Asia,Pakistan,PAK,2000,62.8,0.27,5.93,3.88
Middle East,Lebanon,LBN,2006,77.3,8.54,24.75,NA
Rest of Europe,Georgia,GEO,2007,70.8,3.02,40.99,41.03
European Union,France,FRA,2002,79.3,7.1,33.81,71.32
Rest of Europe,Moldova,MDA,2008,68.7,4.2,26.23,61.17
Middle East,Iran Islamic Rep ,IRN,2005,71.9,1.84,8.61,13.65
Asia,Philippines,PHL,2011,70,2.27,5.54,37.1
Asia,Sri Lanka,LKA,2012,75.8,0.58,7.42,17.77
Middle East,Jordan,JOR,2015,74.1,7.13,27.26,NA
European Union,Belgium,BEL,2002,78.1,7.44,28.59,NA
European Union,Portugal,PRT,2011,80.5,7.68,41.23,61.08
Middle East,Iraq,IRQ,2015,69.9,1.94,7.18,15.82
Asia,Kazakhstan,KAZ,2004,66.1,3.42,34.55,65.23
European Union,Czechia,CZE,2001,75.2,6.55,34.42,83.17
European Union,Luxembourg,LUX,2000,77.9,5.96,21.51,76.06
Rest of Europe,Russian Federation,RUS,2001,65.4,2.96,46.39,98.87
European Union,Lithuania,LTU,2010,73.3,7.93,39.47,76.58
European Union,Romania,ROU,2006,72.2,5.03,22.31,60.16
European Union,Netherlands,NLD,2010,80.7,4.68,29.36,NA
European Union,Netherlands,NLD,2001,78.2,3.93,24.94,NA
Africa,Kenya,KEN,2008,58.8,0.25,1.69,3.59
Rest of Europe,Switzerland,CHE,2006,81.5,5.19,37.9,133.45
Middle East,Turkiye,TUR,2008,73.6,2.79,15.81,20.62
Asia,Brunei Darussalam,BRN,2012,75,2.32,14.69,81.68
Central America and Caribbean,Cuba,CUB,2001,76.9,8.86,59.52,75.58
Africa,Senegal,SEN,2004,59.9,0.06,0.54,3
Central America and Caribbean,Belize,BLZ,2010,72.1,0.38,7.53,14.65
Middle East,Jordan,JOR,2002,72.1,4.24,20.86,26.72
Asia,Malaysia,MYS,2014,75.3,1.92,14.84,39.12
Oceania,Fiji,FJI,2009,66.6,1.89,4.1,21.57
North America,United States,USA,2007,78,5.83,24.26,105.6
Central America and Caribbean,Belize,BLZ,2011,72.6,0.37,7.36,14.33
Asia,Tajikistan,TJK,2011,69.1,1.53,16.93,39.91
Middle East,Iran Islamic Rep ,IRN,2004,71.6,1.52,8.65,13.7
Rest of Europe,Georgia,GEO,2010,71.5,3.23,46.79,41.56
European Union,Cyprus,CYP,2002,78.3,6.62,18.7,30.51
Asia,Kyrgyz Republic,KGZ,2000,68.6,2.23,18.03,77.88
Asia,Thailand,THA,2002,71.1,0.7,2.95,13.18
European Union,Estonia,EST,2003,71.3,8.22,29.96,64.3
Asia,Bhutan,BTN,2007,66.7,0.1,2.12,8.03
Asia,Turkmenistan,TKM,2000,63.6,2.37,27.08,86.34
Rest of Europe,Georgia,GEO,2004,70.5,3.14,39.6,43.39
Africa,Botswana,BWA,2011,61.9,0.27,3.95,28.05
European Union,Lithuania,LTU,2001,71.7,6.95,36.28,79.55
Rest of Europe,Moldova,MDA,2002,67.4,3.29,23.3,55.89
Rest of Europe,Russian Federation,RUS,2008,67.9,2.88,48.94,97.36
Middle East,Oman,OMN,2003,73.4,1.67,15.76,36.39
Asia,Azerbaijan,AZE,2014,72,2.7,34.01,63.5
Africa,Zambia,ZMB,2009,54.1,0.18,0.59,7.04
Africa,South Africa,ZAF,2004,53.4,1.14,7.11,7.2
Africa,Cabo Verde,CPV,2010,71.1,0.08,5.73,10.65
Rest of Europe,Serbia,SRB,2008,73.9,3.46,29.43,61.16
European Union,Sweden,SWE,2006,80.7,8.3,35.43,113.65
European Union,Austria,AUT,2006,79.9,5.4,44.77,63.54
Africa,Liberia,LBR,2004,54.4,0.01,0.33,3.28
South America,Bolivia,BOL,2011,68.5,1.09,4.61,9.8
European Union,Bulgaria,BGR,2006,72.6,8.56,36.76,45.85
Rest of Europe,Georgia,GEO,2013,72.4,5.29,47.99,40.22
Oceania,New Zealand,NZL,2010,80.7,5.88,26.25,106.3
Africa,Gambia The,GMB,2003,57.2,0.04,0.99,11.92
European Union,Italy,ITA,2014,83.1,7.85,38.88,55.44
Middle East,Turkiye,TUR,2014,76.2,2.95,17.38,25.02
South America,Argentina,ARG,2014,75.9,11.01,49.15,53.44
European Union,Luxembourg,LUX,2007,79.4,8.04,27.11,111.62
Asia,Bangladesh,BGD,2004,67.3,0.14,2.69,NA
Asia,Myanmar,MMR,2010,63.5,0.52,5.39,9.22
Rest of Europe,Norway,NOR,2013,81.8,8.73,43.06,172.1
Middle East,Yemen Rep ,YEM,2010,65.5,0.21,NA,6.2
European Union,Portugal,PRT,2008,78.5,6.8,37.52,53.68
Middle East,Bahrain,BHR,2009,75.9,1,9.71,25.26
Rest of Europe,Iceland,ISL,2011,82.4,8.87,35.04,156.88
Asia,Pakistan,PAK,2010,65.3,0.53,7.27,5.04
Africa,South Africa,ZAF,2010,57.7,1.01,7.05,10.01
Asia,India,IND,2015,68.6,1.18,7.23,20.92
Asia,Kyrgyz Republic,KGZ,2012,70,1.71,18.78,49.41
Central America and Caribbean,Panama,PAN,2010,76.8,3.01,14.11,12.27
Africa,Nigeria,NGA,2007,49.4,0.17,3.61,14.32
Rest of Europe,Belarus,BLR,2003,68.6,4.4,33.03,96.61
Rest of Europe,Norway,NOR,2009,80.8,8.68,40.48,164.47
European Union,Slovenia,SVN,2002,76,6.02,22.29,71.71
Oceania,Australia,AUS,2015,82.4,5.78,34.86,121.94
European Union,Slovenia,SVN,2008,78.8,6.01,23.97,79.05
European Union,Sweden,SWE,2005,80.5,8.22,34.54,112.06
Central America and Caribbean,Nicaragua,NIC,2009,72.2,0.47,7.14,13.23
Asia,Maldives,MDV,2009,75.5,1.29,15.1,53
Africa,Zambia,ZMB,2004,47.4,0.24,1.32,NA
Asia,Myanmar,MMR,2006,61.9,0.36,4.29,8.12
Rest of Europe,Bosnia and Herzegovina,BIH,2001,74.6,1.63,13.03,39.51
Africa,Gabon,GAB,2004,57.9,0.1,2.78,47.68
Asia,Bangladesh,BGD,2005,67.8,0.16,2.96,1.39
Oceania,Australia,AUS,2004,80.5,5.01,26.92,101.52
European Union,Poland,POL,2011,76.7,3.41,22.04,58.51
Asia,Azerbaijan,AZE,2005,68.7,2.78,35.57,81.86
Asia,Kyrgyz Republic,KGZ,2014,70.4,1.64,18.37,49.23
Central America and Caribbean,Cuba,CUB,2008,78.2,9.95,66.02,95.43
Africa,Morocco,MAR,2008,73.5,1.22,5.62,NA
European Union,Croatia,HRV,2007,75.7,7.57,27.34,55.26
European Union,Malta,MLT,2013,81.7,4.6,34.21,73.54
Africa,Togo,TGO,2007,55.6,0.02,0.47,4
Middle East,Turkiye,TUR,2012,75.4,2.85,17.26,25.05
European Union,Italy,ITA,2013,82.7,7.76,38.73,52.93
Middle East,Lebanon,LBN,2007,77.6,8.67,23.09,14.31
South America,Colombia,COL,2001,73.2,7.22,12.9,5.37
Rest of Europe,Belarus,BLR,2011,70.6,5.41,37.94,105.4
Asia,Singapore,SGP,2001,78.3,2.39,13.89,32.85
European Union,Spain,ESP,2000,79,4.28,31.01,36.57
Asia,Turkmenistan,TKM,2004,64.7,1.55,24.79,49.64
Africa,Morocco,MAR,2001,69.2,0.91,4.5,NA
Rest of Europe,Moldova,MDA,2006,68,3.76,25.73,59.39
Africa,Kenya,KEN,2009,59.9,0.25,1.71,3.95
South America,Colombia,COL,2006,74.5,10.08,14.83,7.18
Rest of Europe,Montenegro,MNE,2005,74,4.31,18.97,52.18
South America,Chile,CHL,2010,78.8,5.57,14.23,12.58
European Union,Italy,ITA,2000,79.8,5.59,34.24,57.07
European Union,Netherlands,NLD,2004,79.1,4.03,26.25,80.61
European Union,Bulgaria,BGR,2003,72.1,8.3,36.04,42.42
South America,Brazil,BRA,2004,71.5,9.75,NA,37.56
Africa,Niger,NER,2008,55.8,0.01,0.19,1.38
Central America and Caribbean,Nicaragua,NIC,2014,73.4,0.43,9.06,13.72
Africa,South Africa,ZAF,2015,62.6,1.06,7.63,49.12
Central America and Caribbean,Grenada,GRD,2003,73,0.83,5.33,33.61
Middle East,United Arab Emirates,ARE,2006,75.6,2.71,14.07,29.63
Central America and Caribbean,Nicaragua,NIC,2015,73.6,0.42,9.42,13.83
Rest of Europe,Serbia,SRB,2003,72.4,4.63,27.07,58.34
Central America and Caribbean,Grenada,GRD,2008,73,0.81,7.21,NA
Middle East,United Arab Emirates,ARE,2015,77.3,5.67,23.61,53.21
Central America and Caribbean,Cuba,CUB,2014,78.5,14.74,75.82,80.44
Asia,Philippines,PHL,2013,70.3,2.24,5.74,42.42
South America,Ecuador,ECU,2006,74.3,1.39,8.95,13.65
European Union,Poland,POL,2015,77.5,3.29,23.11,57.45
European Union,Germany,DEU,2001,78.3,7.57,33.1,89.1
Rest of Europe,Belarus,BLR,2000,68.9,4.49,32.68,95.49
Central America and Caribbean,Bahamas The,BHS,2011,72.3,2.26,22.33,39.23
Asia,Kyrgyz Republic,KGZ,2011,69.6,1.71,18.97,49.58
Asia,Pakistan,PAK,2015,66.6,0.77,8.5,4.36
North America,United States,USA,2003,77,5.78,23.87,101.03
Asia,Bangladesh,BGD,2012,70.6,0.31,3.9,1.98
Asia,Cambodia,KHM,2008,65.4,0.18,2.41,8.35
Asia,Bhutan,BTN,2004,64.5,0.15,1.81,7.92
European Union,Italy,ITA,2007,81.4,5.68,37.52,54.76
Africa,Seychelles,SYC,2010,73.2,2,10.53,43.37
Africa,Burundi,BDI,2004,52.5,0.02,0.27,NA
Central America and Caribbean,Belize,BLZ,2000,68.8,1.33,10.42,12.58
European Union,Poland,POL,2014,77.6,3.42,22.92,57.9
European Union,Slovenia,SVN,2015,80.8,6.76,28.3,88.73
European Union,Denmark,DNK,2011,79.8,8.02,37.89,101.66
South America,Argentina,ARG,2012,75.6,10.56,48.12,48.53
European Union,Portugal,PRT,2012,80.4,8.05,42.41,62.21
Asia,Kazakhstan,KAZ,2001,65.8,2.78,32.93,61.79
North America,Mexico,MEX,2012,75,1.17,21.2,25.59
Africa,Nigeria,NGA,2012,51.8,0.18,NA,NA
Central America and Caribbean,Panama,PAN,2001,75.2,2.49,12.52,18.53
European Union,Estonia,EST,2007,72.8,8.68,32.6,67.02
South America,Chile,CHL,2003,77.1,0.01,9.36,NA
European Union,Czechia,CZE,2005,75.9,6.72,35.39,84.78
Asia,Malaysia,MYS,2012,74.9,1.54,13.05,37.26
Central America and Caribbean,Grenada,GRD,2013,72.6,0.79,8.19,NA
Asia,Bangladesh,BGD,2009,69.5,0.26,3.43,1.66
Asia,Azerbaijan,AZE,2002,67.4,2.79,35.41,83.03
Africa,Mauritius,MUS,2004,72.3,1.34,10.43,36.84
Asia,India,IND,2003,63.7,0.42,5.65,NA
Oceania,New Zealand,NZL,2001,78.7,4.11,21.82,101.3
North America,Canada,CAN,2007,80.5,5.64,NA,90.06
Middle East,Jordan,JOR,2004,72.4,6.75,19.38,30.94
Africa,Mozambique,MOZ,2009,51.7,0.02,0.47,4.04
Rest of Europe,Armenia,ARM,2014,74.3,3.89,28.83,51.38
European Union,Ireland,IRL,2012,80.8,5.79,38.9,129.83
Rest of Europe,Russian Federation,RUS,2003,65,2.93,47.05,99.14
Middle East,Jordan,JOR,2001,71.9,5.22,19.33,28.94
Africa,Togo,TGO,2015,59.9,0.02,0.47,2.88
European Union,Portugal,PRT,2004,77.7,5.61,34.17,43.68
Asia,Maldives,MDV,2010,75.9,0.89,14.55,51.77
Middle East,Bahrain,BHR,2004,75.2,2.07,9.22,NA
European Union,Romania,ROU,2004,71.6,4.43,22.5,56.7
European Union,Netherlands,NLD,2009,80.5,4.59,28.96,NA
Africa,Niger,NER,2014,60.1,0.01,0.27,3.07
European Union,Germany,DEU,2005,78.9,7.75,34.13,94.58
Middle East,Bahrain,BHR,2005,75.3,1.05,9.95,25.62
Africa,Togo,TGO,2010,57.5,0.1,NA,NA
Africa,Tunisia,TUN,2015,75.9,3.06,12.72,26.35
Middle East,United Arab Emirates,ARE,2001,74.5,2.81,17.59,32.98
European Union,Estonia,EST,2005,72.6,8.78,31.42,65.8
Rest of Europe,Belarus,BLR,2008,70.5,5.37,35.78,102.86
South America,Brazil,BRA,2009,73.3,12.05,NA,NA
European Union,Estonia,EST,2014,77,9.3,33.61,60.81
European Union,Cyprus,CYP,2001,78.1,6.58,19.08,30.73
Asia,Thailand,THA,2008,73.3,1.43,3.11,15.59
Asia,Tajikistan,TJK,2003,64.5,1.4,16.07,35.02
European Union,Finland,FIN,2001,78,9.66,25,NA
Rest of Europe,Switzerland,CHE,2007,81.7,5.21,37.88,136.06
South America,Brazil,BRA,2008,73,11.93,NA,NA
Asia,Kazakhstan,KAZ,2014,71.4,3.61,38.65,69.93
Africa,Eswatini,SWZ,2009,45.3,0.12,1.57,NA
European Union,Sweden,SWE,2013,82,8.17,40.43,117.18
European Union,Poland,POL,2004,74.8,3.7,22.91,55.09
Middle East,Lebanon,LBN,2011,78.5,12.29,26.75,NA
Asia,Sri Lanka,LKA,2008,75.2,0.64,6.05,14.57
Rest of Europe,Switzerland,CHE,2002,80.4,4.81,35.61,123.19
European Union,Luxembourg,LUX,2008,80.5,8.14,27.16,114.38
Central America and Caribbean,Nicaragua,NIC,2010,72.4,0.45,7.39,12.84
Oceania,Micronesia Fed Sts ,FSM,2003,65.1,0.89,5.34,22.26
Middle East,Qatar,QAT,2014,79.6,6.52,24.79,57.56
European Union,Romania,ROU,2014,74.9,7.44,26.9,63.15
European Union,Slovak Republic,SVK,2006,74.2,5.05,31.69,63.46
European Union,Slovenia,SVN,2005,77.6,6,23.5,75.2
Africa,Mauritius,MUS,2013,74,2.72,15.85,30.7
North America,Canada,CAN,2011,81.4,5.96,NA,92.6
Africa,Niger,NER,2009,56.6,0.01,0.28,2.03
Middle East,Syrian Arab Republic,SYR,2006,74.4,7.01,14.07,17.9
Rest of Europe,United Kingdom,GBR,2012,80.9,5.2,26.9,83.95
European Union,Greece,GRC,2005,79.2,12.24,50.59,35.67
Middle East,Syrian Arab Republic,SYR,2007,74.2,6.58,14.13,17.34
Asia,Kyrgyz Republic,KGZ,2008,68.5,1.87,18.92,47.28
European Union,Germany,DEU,2015,80.6,8.54,41.2,109.53
Africa,Djibouti,DJI,2014,63.2,0.19,2.01,6.53
Asia,Uzbekistan,UZB,2012,70.2,1.76,24.61,114.69
European Union,Portugal,PRT,2013,80.7,8.48,43.99,62.93
Rest of Europe,Ukraine,UKR,2003,68.2,4.52,29.64,64.8
European Union,Malta,MLT,2011,80.7,4.38,31.07,69.5
European Union,Malta,MLT,2009,80.2,4.25,29.87,64.45
European Union,Hungary,HUN,2003,72.3,5.29,32.53,59.84
Asia,India,IND,2011,67.1,0.94,7.31,16.85
Rest of Europe,Ukraine,UKR,2005,68,4.56,29.74,65.44
Asia,Japan,JPN,2002,81.6,7.1,19.76,86
European Union,Romania,ROU,2009,73.3,6.05,24.49,61.45
European Union,Romania,ROU,2015,74.9,7.74,27.58,65.6
Rest of Europe,Iceland,ISL,2007,81.5,9.43,36.12,147.77
Asia,Sri Lanka,LKA,2013,76,0.6,7.72,17.8
European Union,France,FRA,2008,81.2,6.9,33.85,81.64
Rest of Europe,Bosnia and Herzegovina,BIH,2010,76,2.09,17.49,53.34
South America,Ecuador,ECU,2005,74.1,1.25,9.02,14.64
Africa,Cabo Verde,CPV,2006,70.6,0.06,NA,NA
Rest of Europe,Switzerland,CHE,2004,81.1,4.98,36.96,127.3
South America,Brazil,BRA,2005,71.9,11.26,NA,NA
Africa,Uganda,UGA,2005,51.7,0.04,1.2,13.46
Asia,Indonesia,IDN,2003,66.6,0.23,1.31,8
Africa,Algeria,DZA,2006,73.5,2.88,11.74,NA
Oceania,Vanuatu,VUT,2008,68.8,0.13,1.15,16.75
European Union,Estonia,EST,2013,77.1,9.03,33.35,59.63
North America,Canada,CAN,2001,79.3,5.63,NA,97.77
Middle East,United Arab Emirates,ARE,2013,76.9,4.06,20.45,39.23
Asia,Uzbekistan,UZB,2004,68.1,2.02,27.26,107.1
Asia,India,IND,2005,64.5,0.62,5.85,12.83
European Union,Ireland,IRL,2013,80.9,5.73,39.27,125.52
Middle East,Lebanon,LBN,2013,78.7,9.18,23.15,15.77
Rest of Europe,Bosnia and Herzegovina,BIH,2012,76.4,2.38,19.14,57.88
Rest of Europe,Belarus,BLR,2007,70.2,5,35.5,100.14
Asia,Kazakhstan,KAZ,2005,65.9,3.27,34.76,66.37
Asia,Tajikistan,TJK,2001,62.8,1.44,17.15,38.41
European Union,Luxembourg,LUX,2014,82.2,8.56,28.82,123.17
Africa,Seychelles,SYC,2006,72.2,1.66,8.3,45.8
European Union,Latvia,LVA,2007,71,6.65,31.43,57.49
Asia,Azerbaijan,AZE,2006,69.3,2.79,35.32,81.81
Africa,Botswana,BWA,2004,51.2,0.21,3.96,26.3
European Union,Greece,GRC,2004,79,12.16,49.28,35.31
Central America and Caribbean,Grenada,GRD,2009,73,0.81,7.19,NA
Central America and Caribbean,Belize,BLZ,2005,70,0.5,8.9,15.77
Middle East,Qatar,QAT,2015,79.8,7.82,23.31,61.6
Middle East,Israel,ISR,2005,80.2,8.37,36.26,56.06
Africa,Guinea,GIN,2000,51.2,0.02,0.91,4.51
Rest of Europe,Montenegro,MNE,2011,76,0.44,19.9,50.64
Rest of Europe,Armenia,ARM,2011,73.6,4.44,28.22,52.14
Rest of Europe,Norway,NOR,2005,80,8.43,35.63,155.12
European Union,Bulgaria,BGR,2011,74.2,9.13,38.38,47.26
European Union,Netherlands,NLD,2005,79.3,4.07,26.84,81.2
Middle East,Jordan,JOR,2010,73.4,7.8,22.22,35.17
Africa,Algeria,DZA,2014,75.9,3.36,17.62,NA
Central America and Caribbean,Nicaragua,NIC,2003,70.6,0.47,3.92,11.25
Asia,Azerbaijan,AZE,2001,67.1,2.73,35.25,84.94
Africa,Gambia The,GMB,2015,60.9,0.08,0.96,14.48
Africa,Mauritius,MUS,2015,74.4,2.94,19.73,31.96
Africa,Cote d Ivoire,CIV,2008,51.7,0.13,1.28,4.29
European Union,Italy,ITA,2005,80.8,5.98,36.87,51.89
South America,Ecuador,ECU,2002,73.4,1.25,8.49,13.8
Asia,Tajikistan,TJK,2007,67.4,1.44,18.61,34.58
Africa,Ghana,GHA,2007,59.7,0.01,0.7,NA
Asia,Thailand,THA,2001,70.8,0.68,2.98,12.26
Rest of Europe,Belarus,BLR,2004,69,4.58,32.99,98.08
European Union,Denmark,DNK,2007,78.2,8.4,34.58,95.56
Asia,Japan,JPN,2006,82.3,7.39,20.82,93.13
Oceania,Samoa,WSM,2010,71.7,2.33,3.32,14.82
Asia,Bangladesh,BGD,2011,70.3,0.31,3.73,1.88
Rest of Europe,Bosnia and Herzegovina,BIH,2015,76.9,2.34,21.07,60.23
European Union,Greece,GRC,2002,78.6,12.04,46.23,35.27
Rest of Europe,Serbia,SRB,2015,75.3,3.11,30.43,62.92
Middle East,Saudi Arabia,SAU,2012,74.3,3.7,22.73,51.62
Middle East,Syrian Arab Republic,SYR,2004,74.3,8.35,14.12,18.6
European Union,Estonia,EST,2004,71.9,8.19,30.23,65.42
European Union,Spain,ESP,2010,81.6,5.94,37.37,52.83
European Union,Greece,GRC,2014,81.4,12.62,58.67,34.74
European Union,Lithuania,LTU,2015,74.3,9.1,43.38,79.74
European Union,Slovenia,SVN,2009,79,6.07,24.15,80.86
European Union,Czechia,CZE,2000,75,6.5,33.8,80.81
Asia,Myanmar,MMR,2008,62.7,0.48,4.9,8.56
European Union,France,FRA,2003,79.1,7.1,33.96,72.95
